,center,trials_list,count,End,Not Yet recruiting,Recruiting,position,lat,long
241,CHU Nice-Hopital de Cimiel Nice 06000,['NCT04912687'],1,,['NCT04912687'],,"43.7209925, 7.273405100000001",43.7209925,7.273405100000001
243,Chru Pontchaillou Rennes 35033,['NCT03865511'],1,,['NCT03865511'],,"48.1331, -1.702699",48.1331,-1.702699
244,Clinique Belharra Bayonne 64100,['NCT04027868'],1,,['NCT04027868'],,"43.47898319999999, -1.4533603",43.47898319999999,-1.4533603
245,Clinique Claude Bernard Albi 81000,['NCT05025514'],1,,,['NCT05025514'],"43.9302708, 2.1646249",43.9302708,2.1646249
246,Hôpital du Scorff Lorient 56100,['NCT05049044'],1,,,['NCT05049044'],"47.7530002, -3.356251",47.7530002,-3.356251
247,Institut Bergonie ( Site 0603) Bordeaux 33076,['NCT03742895'],1,,,['NCT03742895'],"44.8233195, -0.5801172",44.8233195,-0.5801172
248,"IUC AP-HP. Sorbonne Université, Hôpital Tenon Paris 75020",['NCT04622319'],1,,,['NCT04622319'],"48.86064649999999, 2.4070846",48.86064649999999,2.4070846
249,ICO Saint-Herblain 44805,['NCT03795207'],1,,,['NCT03795207'],"47.210335, -1.651444",47.210335,-1.651444
250,ICANS - Institut de cancérologie Strasbourg Europe Strasbourg 67037,['NCT04027868'],1,,['NCT04027868'],,"48.5940073, 7.7093834",48.5940073,7.7093834
251,Hôpitaux Drôme Nord - Centre Hospitalier Romans Romans-sur-Isère 26100,['NCT04027868'],1,,['NCT04027868'],,"45.0417613, 5.0199769",45.0417613,5.0199769
252,Hôpital privé de l'estuaire Le Havre 76600,['NCT04027868'],1,,['NCT04027868'],,"49.5286906, 0.1008775",49.5286906,0.1008775
253,Hôpital de la Pitié Salpétrière Paris 75000,['NCT04027868'],1,,['NCT04027868'],,"48.8370792, 2.3650429",48.8370792,2.3650429
254,Institut De Cancerologie De La Loire Saint-Priest-en-Jarez 42270,['NCT04622319'],1,,,['NCT04622319'],"45.4742055, 4.367904",45.4742055,4.367904
255,Hôpital de la Croix Rousse Lyon 60004,['NCT04027868'],1,,['NCT04027868'],,"45.7818261, 4.8309713",45.7818261,4.8309713
256,Hôpital de Meaux Meaux 77100,['NCT05049044'],1,['NCT05049044'],,,"48.9673077, 2.8865536",48.9673077,2.8865536
257,Hôpital d'Instruction des Armées Ste Anne Toulon 83800,['NCT05049044'],1,,,['NCT05049044'],"43.13342859999999, 5.929660999999999",43.13342859999999,5.929660999999999
258,Hôpital d'Instruction des Armées Saint-Anne Toulon 83800,['NCT04027868'],1,,['NCT04027868'],,"43.124228, 5.928",43.124228,5.928
259,Hôpital Privé d'Antony Antony 92160,['NCT05049044'],1,['NCT05049044'],,,"48.7567574, 2.302302",48.7567574,2.302302
260,Hôpital Privé d'Antony - Ramsay Santé Antony 92160,['NCT04027868'],1,,['NCT04027868'],,"48.7567574, 2.302302",48.7567574,2.302302
261,Institut Curie - Site Saint Cloud Saint-Cloud 92210,['NCT04027868'],1,,['NCT04027868'],,"48.8448436, 2.2182092",48.8448436,2.2182092
262,Institut Du Cancer de Montpellier Montpellier 34298,['NCT03302884'],1,,,['NCT03302884'],"43.64452980000001, 3.8387344",43.64452980000001,3.8387344
263,Hôpital Privé Loire Saint-Etienne Saint-Étienne 42100,['NCT04027868'],1,,['NCT04027868'],,"45.4282778, 4.4176508",45.4282778,4.4176508
264,Institut de Cancérologie de Loire Saint-Priest-en-Jarez 42271,['NCT03795207'],1,,['NCT03795207'],,"45.4742055, 4.367904",45.4742055,4.367904
265,Institut de Cancérologie du Gard - ONCOGARD Nîmes 30029,['NCT04027868'],1,,['NCT04027868'],,"43.8218442, 4.3232389",43.8218442,4.3232389
266,Institut de Cancérologie de l'Ouest - Site Paul Papin Angers 49000,['NCT04912687'],1,,['NCT04912687'],,"47.48377230000001, -0.5551655999999999",47.48377230000001,-0.5551655999999999
267,"Institut de Cancérologie de l'Ouest - Paul Papin Angers, 49933",['NCT03848052'],1,,,['NCT03848052'],"47.47116159999999, -0.5518257",47.47116159999999,-0.5518257
268,Institut de Cancérologie de Montpellier Montpellier 34298,['NCT03795207'],1,,['NCT03795207'],,"43.610769, 3.876716",43.610769,3.876716
269,Institut de Cancérologie de Lorraine Vandœuvre-lès-Nancy 54519,['NCT03848052'],1,,,['NCT03848052'],"48.6483255, 6.1445737",48.6483255,6.1445737
270,Institut de Cancérologie de Lorraine Nancy 54511,['NCT03275298'],1,,,['NCT03275298'],"48.6483255, 6.1445737",48.6483255,6.1445737
271,AP-HP Hôpital Tenon Paris 75970,['NCT03865511'],1,,['NCT03865511'],,"48.856614, 2.3522219",48.856614,2.3522219
272,Institut Gustave Roussy ( Site 0601) Villejuif 94805,['NCT03742895'],1,,,['NCT03742895'],"48.792716, 2.359279",48.792716,2.359279
273,Institut de Cancer de Montpellier Montpellier 34000,['NCT05025514'],1,,,['NCT05025514'],"43.6047275, 3.9011747",43.6047275,3.9011747
274,Institut de Cancer Courlancy Reims 51100,['NCT04027868'],1,,['NCT04027868'],,"49.2473104, 4.0203136",49.2473104,4.0203136
275,Institut de Cacerologie de l'ouest - site Paul Papin Angers 49055,['NCT03958136'],1,,,['NCT03958136'],"47.48377230000001, -0.5551655999999999",47.48377230000001,-0.5551655999999999
276,Institut Universitaire du Cancer Toulouse - Oncopole Toulouse 31059,['NCT04696692'],1,,,['NCT04696692'],"43.5566589, 1.426502",43.5566589,1.426502
277,Institut Paoli-Calmettes Marseille 13009,['NCT04622319'],1,,,['NCT04622319'],"43.2630412, 5.410851699999999",43.2630412,5.410851699999999
278,Institut Lucien Neuwirth Saint-Priest-en-Jarez 42271,['NCT05049044'],1,,,['NCT05049044'],"45.473518, 4.379554",45.473518,4.379554
279,Hôpital Privé d'Aix en Provence Aix-en-provence 13080,['NCT04027868'],1,,['NCT04027868'],,"43.502923, 5.4363212",43.502923,5.4363212
280,Hôpital Privé Drôme Ardèche Guilherand-Granges 07500,['NCT04027868'],1,,['NCT04027868'],,"44.9344753, 4.882515499999999",44.9344753,4.882515499999999
281,Clinique Mathilde Rouen 76100,['NCT04027868'],1,,['NCT04027868'],,"49.4282472, 1.0965157",49.4282472,1.0965157
282,Groupe Hospitalier Région Mulhouse et Sud Alsace - Hôpital Emile Muller Mulhouse 68070,['NCT03848052'],1,,,['NCT03848052'],"47.7262425, 7.3438251",47.7262425,7.3438251
283,Hopital Jean Minjoz Besançon 25030,['NCT04656652'],1,,,['NCT04656652'],"47.22504869999999, 5.962735899999999",47.22504869999999,5.962735899999999
284,Hopital Georges Pompidou Paris 75015,['NCT04622319'],1,,,['NCT04622319'],"48.83893320000001, 2.2739696",48.83893320000001,2.2739696
285,Hopital Europeen G. Pompidou Paris 75015,['NCT04704934'],1,,,['NCT04704934'],"48.83893320000001, 2.2739696",48.83893320000001,2.2739696
286,Gustave Roussy Villejuif 94805,['NCT05215106'],1,,,['NCT05215106'],"48.792716, 2.359279",48.792716,2.359279
287,Gustave Roussy Villejuif 94800,['NCT04042701'],1,,,['NCT04042701'],"48.7943857, 2.3482831",48.7943857,2.3482831
288,Gustav Roussy Cancer Campus Grand Paris Villejuif 94805,['NCT04656652'],1,,,['NCT04656652'],"48.7943857, 2.3482831",48.7943857,2.3482831
289,Foch hospital Suresnes 92151,['NCT04412070'],1,,,['NCT04412070'],"48.869798, 2.219033",48.869798,2.219033
290,Hopital Pontchaillou Rennes 35000,['NCT04656652'],1,,,['NCT04656652'],"48.1209013, -1.6945449",48.1209013,-1.6945449
291,Crlcc Francois Baclesse Caen 14000,['NCT03865511'],1,,['NCT03865511'],,"49.20388029999999, -0.3540918",49.20388029999999,-0.3540918
292,Clinique du Mousseau (CMCO) - Ramsay Santé Évry 91000,['NCT04027868'],1,,['NCT04027868'],,"48.63027779999999, 2.4494444",48.63027779999999,2.4494444
293,Clinique des Cèdres Cornebarrieu 31700,['NCT04027868'],1,,['NCT04027868'],,"43.6593515, 1.3113981",43.6593515,1.3113981
294,Clinique des Cèdres - Capio Cornebarrieu 31700,['NCT05025514'],1,,,['NCT05025514'],"43.6593515, 1.3113981",43.6593515,1.3113981
295,Clinique de l'infirmerie Protestante Lyon 69300,['NCT04027868'],1,,['NCT04027868'],,"45.7861069, 4.8346675",45.7861069,4.8346675
296,Clinique Tivoli Ducos - Centre dOncologie et de Radiotherapie a Bordeaux Bordeaux 33000,['NCT04622319'],1,,,['NCT04622319'],"44.8572931, -0.5879597",44.8572931,-0.5879597
297,Hopital Morvan CHU de Brest Brest 29200,['NCT04656652'],1,,['NCT04656652'],,"48.3927799, -4.486178",48.3927799,-4.486178
298,Hopital Saint Antoine Paris 75012,['NCT04704934'],1,,,['NCT04704934'],"48.8488116, 2.3827263",48.8488116,2.3827263
299,Hôpital Paul d'Egine Champigny-sur-Marne 94500,['NCT05049044'],1,['NCT05049044'],,,"48.811654, 2.5166138",48.811654,2.5166138
300,Hôpital Européen Marseille 130003,['NCT05049044'],1,,,['NCT05049044'],"43.31010759999999, 5.3723176",43.31010759999999,5.3723176
301,Hôpital Nord Marseille 13915,['NCT05049044'],1,,,['NCT05049044'],"43.296482, 5.36978",43.296482,5.36978
302,Hôpital Nord (Hôpitaux Universitaires de Marseille) Marseille 13915,['NCT04612751'],1,,['NCT04612751'],,"43.296482, 5.36978",43.296482,5.36978
303,Hôpital Lyon Sud Pierre-Bénite 69006,['NCT04027868'],1,,['NCT04027868'],,"45.7027756, 4.8045453",45.7027756,4.8045453
304,Hôpital Intercommunal de Créteil Creteil 94000,['NCT03848052'],1,,,['NCT03848052'],"48.7965026, 2.4654091",48.7965026,2.4654091
305,Hôpital Femme Mère Enfant Bron 89500,['NCT04027868'],1,,['NCT04027868'],,"45.7462537, 4.9007108",45.7462537,4.9007108
306,Hôpital FOCH Suresnes 92150,['NCT04612751'],1,,['NCT04612751'],,"48.8707605, 2.222492",48.8707605,2.222492
307,Hôpital Charles Nicolle Rouen 76031,['NCT05049044'],1,,,['NCT05049044'],"49.4393786, 1.108249",49.4393786,1.108249
308,Hopitaux Universitaire de Strasbourg Strasbourg 67098,['NCT04656652'],1,,,['NCT04656652'],"48.5764924, 7.7532163",48.5764924,7.7532163
309,Hôpital Calmette CHRU de Lille Lille 59037,['NCT03865511'],1,,['NCT03865511'],,"50.6108999, 3.0347031",50.6108999,3.0347031
310,Hôpital Avicenne Bobigny 93009,['NCT04027868'],1,,['NCT04027868'],,"48.908612, 2.439712",48.908612,2.439712
311,Hospital St Louis Paris 75010,['NCT04622319'],1,,,['NCT04622319'],"48.8729577, 2.3670696",48.8729577,2.3670696
312,Hospital Institut Curie Paris 75248,['NCT04612751'],1,,['NCT04612751'],,"48.8433967, 2.3446287",48.8433967,2.3446287
313,Hospices Civils de Lyon Pierre-Bénite 69310,['NCT03795207'],1,,['NCT03795207'],,"45.6948928, 4.8160017",45.6948928,4.8160017
314,Hospices Civils de Lyon Lyon 69002,['NCT04912687'],1,,['NCT04912687'],,"45.7608649, 4.8315594",45.7608649,4.8315594
315,University Hospital of Nantes - Thoracic Oncology Nantes 44000,['NCT04656652'],1,,,['NCT04656652'],"47.21191289999999, -1.5540699",47.21191289999999,-1.5540699
